value	colour	label
2975	rgb(188,121,243)	Pyrolobus fumarii 1A
4271	rgb(121,243,234)	Thermococcus
3375	rgb(121,243,193)	Marinitoga piezophila KA3
2923	rgb(121,243,193)	Petrotoga mobilis SJ95
2875	rgb(243,121,216)	Caldicellulosiruptor obsidiansis OB47
4207	rgb(243,157,121)	Rhodothermus marinus
8547	rgb(121,243,193)	Thermotoga
4559	rgb(243,121,216)	Clostridium
2540	rgb(121,243,193)	Kosmotoga olearia TBF 19.5.1
6357	rgb(163,121,243)	Candidatus Solibacter usitatus Ellin6076
3205	rgb(243,121,150)	Persephonella marina EX-H1
3447	rgb(122,121,243)	Treponema caldarium DSM 7334
3869	rgb(121,243,234)	Methanocella conradii HZ254
2803	rgb(243,121,216)	[Clostridium] stercorarium subsp. stercorarium DSM 8532
2404	rgb(228,121,243)	Nitrospira moscoviensis
3740	rgb(243,183,121)	Terrabacteria group
18973	rgb(121,243,234)	Archaeoglobus fulgidus
3564	rgb(121,243,234)	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
21200	rgb(121,243,127)	Thermus scotoductus SA-01
8440	rgb(243,157,121)	Ignavibacterium album JCM 16511
5534	rgb(243,121,125)	Thermodesulfatator indicus DSM 15286
5279	rgb(243,121,216)	Thermacetogenium phaeum DSM 12270
6923	rgb(243,121,150)	Hydrogenobacter thermophilus TK-6
3462	rgb(243,121,216)	Thermincola potens JR
4912	rgb(121,243,193)	Thermosipho africanus TCF52B
2578	rgb(188,121,243)	Thermosphaera aggregans DSM 11486
2827	rgb(243,121,216)	[Clostridium] clariflavum DSM 19732
2812	rgb(122,121,243)	Spirochaeta smaragdinae DSM 11293
5556	rgb(243,121,150)	Thermocrinis ruber
6730	rgb(243,198,121)	Syntrophobacter fumaroxidans MPOB
6831	rgb(121,243,234)	Archaeoglobus profundus DSM 5631
2507	rgb(121,243,234)	Methanosphaerula palustris E1-9c
3928	rgb(243,198,121)	Desulfobacula toluolica Tol2
6816	rgb(121,243,234)	Archaeoglobus sulfaticallidus PM70-1
2844	rgb(188,121,243)	Caldivirga maquilingensis IC-167
2646	rgb(243,198,121)	Hippea maritima DSM 10411
2690	rgb(243,121,216)	Clostridiales
4501	rgb(243,198,121)	Proteobacteria
2441	rgb(121,243,234)	Archaeoglobaceae
2866	rgb(243,121,216)	Caldanaerobacter subterraneus subsp. tengcongensis MB4
15015	rgb(221,243,121)	Anaerolinea thermophila UNI-1
7954	rgb(243,198,121)	Syntrophus aciditrophicus SB
46488	rgb(243,121,216)	Caldicellulosiruptor
2451	rgb(196,243,121)	Isosphaera pallida ATCC 43644
4103	rgb(243,121,216)	Carboxydothermus hydrogenoformans Z-2901
5935	rgb(243,121,216)	Caldicellulosiruptor saccharolyticus DSM 8903
3178	rgb(243,121,216)	Halothermothrix orenii H 168
31839	rgb(243,223,121)	Bacteria
3236	rgb(121,243,127)	Thermus thermophilus
2422	rgb(243,198,121)	Desulfobulbus propionicus DSM 2032
7885	rgb(121,243,127)	Thermus sp. CCB_US3_UF1
3858	rgb(221,243,121)	Dehalococcoides
3061	rgb(121,243,234)	Thermococcaceae
9407	rgb(121,243,234)	Methanosaeta concilii GP6
3208	rgb(121,243,193)	Thermosipho melanesiensis BI429
3994	rgb(243,121,216)	Thermosediminibacter oceani DSM 16646
2770	rgb(243,121,216)	Thermodesulfobium narugense DSM 14796
2599	rgb(243,121,216)	Caldicellulosiruptor kronotskyensis 2002
13510	rgb(121,243,127)	Thermus
2346	rgb(243,198,121)	Pelobacter carbinolicus DSM 2380
11868	rgb(243,121,125)	Thermodesulfobacterium commune DSM 2178
7399	rgb(121,243,234)	Archaeoglobus veneficus SNP6
3912	rgb(221,243,121)	Chloroflexus
3053	rgb(243,121,216)	Paenibacillus
5791	rgb(243,121,150)	Sulfurihydrogenibium azorense Az-Fu1
6845	rgb(131,243,121)	cellular organisms
5975	rgb(121,186,243)	Calditerrivibrio nitroreducens DSM 19672
2672	rgb(243,121,216)	Thermaerobacter marianensis DSM 12885
2452	rgb(188,121,243)	Pyrodictium delaneyi
3306	rgb(243,121,150)	Aquifex aeolicus VF5
11074	rgb(121,243,193)	Pseudothermotoga
10064	rgb(221,243,121)	Caldilinea aerophila DSM 14535 = NBRC 104270
4707	rgb(243,121,216)	Moorella thermoacetica
44747	rgb(243,121,232)	Dictyoglomus turgidum DSM 6724
3254	rgb(221,243,121)	Dehalogenimonas lykanthroporepellens BL-DC-9
4071	rgb(196,243,121)	Singulisphaera acidiphila DSM 18658
4768	rgb(243,121,216)	Syntrophothermus lipocalidus DSM 12680
5457	rgb(243,121,216)	Mahella australiensis 50-1 BON
3748	rgb(188,121,243)	Thermofilum sp. 1807-2
6287	rgb(243,198,121)	Desulfobacca acetoxidans DSM 11109
2594	rgb(243,121,216)	Caldicellulosiruptor bescii DSM 6725
4535	rgb(121,243,234)	Methanosarcina
2341	rgb(121,243,234)	Methanotorris igneus Kol 5
2505	rgb(243,121,216)	Desulfotomaculum acetoxidans DSM 771
2759	rgb(121,243,152)	Verrucomicrobia bacterium L21-Fru-AB
4883	rgb(243,121,150)	Thermocrinis albus DSM 14484
4408	rgb(121,243,234)	Methanospirillum hungatei JF-1
2444	rgb(121,243,234)	Methanoculleus bourgensis MS2
13932	rgb(121,243,193)	Thermotogaceae
